City,Population,Ranked_population,racial_demo_white,racial_demo_black,racial_demo_asian,racial_demo_native_american,latitude,longitude
Milwaukee,594833,1,574656,253764,32422,6808,43.034993,-87.922497
Madison,233209,2,184030,16926,17211,1001,43.074761,-89.383761
Green Bay,104057,3,81075,3691,4210,4210,44.529941,-88.024832
Kenosha,99218,4,139416,11052,2393,814,42.584677,-87.821226
Racine,78860,5,48712,17799,603,381,42.726052,-87.782524
Appleton,72623,6,63553,1216,4279,489,44.261134,-88.40676
Waukesha,70718,7,62301,1660,2495,275,43.011678,-88.231481
Oshkosh,66083,8,59812,2051,2113,510,44.020692,-88.540857
Eau Claire,65883,9,60226,752,3014,347,44.811349,-91.498494
Janesville,63575,10,58299,1633,857,187,42.715185,-88.990774
West Allis,60411,11,52396,2199,1231,648,43.016681,-88.007031
La Crosse,51320,12,46072,1155,2490,286,43.880437,-91.254841
Sheboygan,49288,13,40685,885,4439,242,43.750828,-87.71453
Wauwatosa,46396,14,41574,2000,1289,139,43.049412,-88.007927
Fond du Lac,43021,15,38967,1096,755,293,43.774876,-88.445803
